Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto (CPC),Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1976","1976","toneladas","30000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1977","1977","toneladas","32000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1978","1978","toneladas","32000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1979","1979","toneladas","35000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1980","1980","toneladas","36000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1981","1981","toneladas","35000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1982","1982","toneladas","35000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1983","1983","toneladas","36000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1984","1984","toneladas","35000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1985","1985","toneladas","33000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1986","1986","toneladas","34000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1987","1987","toneladas","35000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1988","1988","toneladas","35000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1989","1989","toneladas","34000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1990","1990","toneladas","32000","E","Valor estimado"
